disease_code,disease_name,region,year,case_count,source
COVID_001,COVID-19,Europe,2024,0,OWID
COVID_001,COVID-19,European Union (27),2020,1,OWID
COVID_001,COVID-19,European Union (27),2021,0,OWID
COVID_001,COVID-19,European Union (27),2022,0,OWID
COVID_001,COVID-19,European Union (27),2023,581165,OWID
COVID_001,COVID-19,European Union (27),2024,0,OWID
COVID_001,COVID-19,Falkland Islands,2020,0,OWID
COVID_001,COVID-19,Falkland Islands,2021,0,OWID
COVID_001,COVID-19,Falkland Islands,2022,0,OWID
COVID_001,COVID-19,Falkland Islands,2023,0,OWID
COVID_001,COVID-19,Falkland Islands,2024,0,OWID
COVID_001,COVID-19,Faroe Islands,2020,0,OWID
COVID_001,COVID-19,Faroe Islands,2021,0,OWID
COVID_001,COVID-19,Faroe Islands,2022,0,OWID
COVID_001,COVID-19,Faroe Islands,2023,0,OWID
COVID_001,COVID-19,Faroe Islands,2024,0,OWID
COVID_001,COVID-19,Fiji,2020,0,OWID
COVID_001,COVID-19,Fiji,2021,0,OWID
COVID_001,COVID-19,Fiji,2022,0,OWID
COVID_001,COVID-19,Fiji,2023,48,OWID
COVID_001,COVID-19,Fiji,2024,0,OWID
COVID_001,COVID-19,Finland,2020,0,OWID
COVID_001,COVID-19,Finland,2021,0,OWID
COVID_001,COVID-19,Finland,2022,0,OWID
COVID_001,COVID-19,Finland,2023,1521,OWID
COVID_001,COVID-19,Finland,2024,0,OWID
COVID_001,COVID-19,France,2020,0,OWID
COVID_001,COVID-19,France,2021,0,OWID
COVID_001,COVID-19,France,2022,0,OWID
COVID_001,COVID-19,France,2023,151707,OWID
COVID_001,COVID-19,French Guiana,2020,0,OWID
COVID_001,COVID-19,French Guiana,2021,0,OWID
COVID_001,COVID-19,French Guiana,2022,0,OWID
COVID_001,COVID-19,French Guiana,2023,103,OWID
COVID_001,COVID-19,French Guiana,2024,0,OWID
COVID_001,COVID-19,French Polynesia,2020,0,OWID
COVID_001,COVID-19,French Polynesia,2021,0,OWID
COVID_001,COVID-19,French Polynesia,2022,0,OWID
COVID_001,COVID-19,French Polynesia,2023,47,OWID
COVID_001,COVID-19,French Polynesia,2024,0,OWID
COVID_001,COVID-19,Gabon,2020,0,OWID
COVID_001,COVID-19,Gabon,2021,0,OWID
COVID_001,COVID-19,Gabon,2022,0,OWID
COVID_001,COVID-19,Gabon,2023,1,OWID
COVID_001,COVID-19,Gabon,2024,0,OWID
COVID_001,COVID-19,Gambia,2020,0,OWID
COVID_001,COVID-19,Gambia,2021,0,OWID
COVID_001,COVID-19,Gambia,2022,0,OWID
COVID_001,COVID-19,Gambia,2023,0,OWID
COVID_001,COVID-19,Gambia,2024,0,OWID
COVID_001,COVID-19,Georgia,2020,0,OWID
COVID_001,COVID-19,Georgia,2021,0,OWID
COVID_001,COVID-19,Georgia,2022,0,OWID
COVID_001,COVID-19,Georgia,2023,691,OWID
COVID_001,COVID-19,Georgia,2024,0,OWID
COVID_001,COVID-19,Germany,2020,1,OWID
COVID_001,COVID-19,Germany,2021,0,OWID
COVID_001,COVID-19,Germany,2022,0,OWID
COVID_001,COVID-19,Germany,2023,151567,OWID
COVID_001,COVID-19,Ghana,2020,0,OWID
COVID_001,COVID-19,Ghana,2021,0,OWID
COVID_001,COVID-19,Ghana,2022,0,OWID
COVID_001,COVID-19,Ghana,2023,27,OWID
COVID_001,COVID-19,Ghana,2024,0,OWID
COVID_001,COVID-19,Gibraltar,2020,0,OWID
COVID_001,COVID-19,Gibraltar,2021,0,OWID
COVID_001,COVID-19,Gibraltar,2022,0,OWID
COVID_001,COVID-19,Gibraltar,2023,30,OWID
